date	sample_id	PANGAEA_event	sample	type	gear	lat	lon	numeric_depth	depth_category	Watermass1	Watermass2	depth_or_watermass	sample_title	locus_tag	cycles	reads	clip_id	miseq_ID	seq_fwd	seq_rev	running_id	bottle_id	Niskin_id	PotentialTemperature	PracticalSalinity	InsituTemperature	PrDM	DepSM	Sbeox0_umol/L	Sbeox1_umol/L	FlECO-AFL	CO2_umol/L	CO2_umol/L_umolkg	NO3+NO2_c_mean	NO3+NO2_c_std	NO2_c_mean	NO2_c_std	SiOH4_c_mean	SiOH4_c_std	PO4_c_mean	PO4_c_std	NH4_c_mean	NH4_c_std	TDN_c_mean	TDN_c_std	TDP_c_mean	TDP_c_std	NO3+NO2_c_mean_umolkg	NO3+NO2_c_std_umolkg	NO2_c_mean_umolkg	NO2_c_std_umolkg	SiOH4_c_mean_umolkg	SiOH4_c_std_umolkg	PO4_c_mean_umolkg	PO4_c_std_umolkg	NH4_c_mean_umolkg	NH4_c_std_umolkg	TDN_c_mean_umolkg	TDN_c_std_umolkg	TDP_c_mean_umolkg	TDP_c_std_umolkg
2023-09-14	CTD_290	PS138_193-1	Ice_Station08	seawater	CTD	87.971181	56.369367	3000	3000	EBBW	NA	EBBW	PS138-193-1-CTD-3000-16S	16S	25	73209	PS138-193-1-CTD-3000-16S_clip	L9424	PS138-193-1-CTD-3000-16S_clip_R1_001.fastq.gz	PS138-193-1-CTD-3000-16S_clip_R2_001.fastq.gz	147	4	PS138_193-1-N4	-0.92222	34.941	-0.619	4441.339	4348.323	285.01	290.25	-0.0543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2023-09-14	CTD_292	PS138_193-1	Ice_Station08	seawater	CTD	87.971181	56.369367	2000	2000	EBBW	NA	EBBW	PS138-193-1-CTD-2000-16S	16S	25	92266	PS138-193-1-CTD-2000-16S_clip	L9424	PS138-193-1-CTD-2000-16S_clip_R1_001.fastq.gz	PS138-193-1-CTD-2000-16S_clip_R2_001.fastq.gz	148	6	PS138_193-1-N6	-0.90042	34.93	-0.7288	3054.949	3000.42	283.83	285.63	-0.0543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2023-09-14	CTD_280	PS138_190-1	Ice_Station08	seawater	CTD	87.960069	56.850695		chl-max	ML	PSW	ML	PS138-190-1-CTD-chlmax-16S	16S	25	61466	PS138-190-1-CTD-chlmax-16S_clip	L9424	PS138-190-1-CTD-chlmax-16S_clip_R1_001.fastq.gz	PS138-190-1-CTD-chlmax-16S_clip_R2_001.fastq.gz	142	19	PS138_190-1-N19	-1.7421	32.301	-1.7418	20.305	20.086	380.51	385.26	0.7092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2023-09-13	CTD_272	PS138_180-1	Ice_Station08	seawater	OFOBS	87.914258	59.21162		bottom	NA	NA	bottom	PS138-180-1-OFOBS-16S	16S	25	39938	PS138-180-1-OFOBS-16S_clip	L9424	PS138-180-1-OFOBS-16S_clip_R1_001.fastq.gz	PS138-180-1-OFOBS-16S_clip_R2_001.fastq.gz	138	NA	PS138_180-1-N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2023-09-12	CTD_214	PS138_173-1	Transect_60E_02	seawater	CTD	89.339373	59.19928	200	200	AW1	NA	AW1	PS138-173-1-CTD-200-16S	16S	25	44752	PS138-173-1-CTD-200-16S_clip	L9424	PS138-173-1-CTD-200-16S_clip_R1_001.fastq.gz	PS138-173-1-CTD-200-16S_clip_R2_001.fastq.gz	108	9	PS138_173-1-N9	1.1486	34.814	1.1581	202.407	200.135	294.57	295.53	-0.0543	304.8	296.359	12.043	0.023	-0.028	0	5.026	0.015	0.812	0.001	0.027	0.003	15.814	0.042	0.752	0.003	11.75	0.022	-0.027	0	4.904	0.015	0.792	0.001	0.026	0.003	15.429	0.041	0.734	0.003
2023-09-12	CTD_222	PS138_173-1	Transect_60E_02	seawater	CTD	89.339373	59.19928	10	10	ML	PSW	ML	PS138-173-1-CTD-10-16S	16S	25	123754	PS138-173-1-CTD-10-16S_clip	L9424	PS138-173-1-CTD-10-16S_clip_R1_001.fastq.gz	PS138-173-1-CTD-10-16S_clip_R2_001.fastq.gz	112	24	PS138_173-1-N24	-1.6881	31.285	-1.688	10.253	10.143	387.1	388.31	0.6896	397.8	387.831	0.397	0.121	-0.022	0.022	4.095	0.006	0.376	0.005	0.128	0.01	5.718	0	0.351	0	0.388	0.118	-0.022	0.022	4.006	0.006	0.368	0.005	0.125	0.01	5.594	0	0.343	0
2023-09-12	CTD_232	PS138_174-1	Transect_60E_03	seawater	CTD	88.995298	59.611314	200	200	AW1	NA	AW1	PS138-174-1-CTD-200-16S	16S	25	89362	PS138-174-1-CTD-200-16S_clip	L9424	PS138-174-1-CTD-200-16S_clip_R1_001.fastq.gz	PS138-174-1-CTD-200-16S_clip_R2_001.fastq.gz	117	13	PS138_174-1-N13	1.1466	34.808	1.1561	202.349	200.078	293.61	294.59	-0.0446	303.7	295.286	11.92	0.003	-0.011	0	4.994	0.003	0.809	0.002	0.01	0.002	14.782	0.004	0.749	0.002	11.63	0.003	-0.011	0	4.873	0.003	0.789	0.002	0.01	0.002	14.423	0.004	0.731	0.002
2023-09-12	CTD_224	PS138_174-1	Transect_60E_03	seawater	CTD	88.995298	59.611314	4342	bottom+5	EBBW	NA	EBBW	PS138-174-1-CTD-4342-16S	16S	25	168449	PS138-174-1-CTD-4342-16S_clip	L9424	PS138-174-1-CTD-4342-16S_clip_R1_001.fastq.gz	PS138-174-1-CTD-4342-16S_clip_R2_001.fastq.gz	113	1	PS138_174-1-N1	-0.92182	34.941	-0.6192	4435.524	4342.664	285.96	289.35	-0.0549	304.7	296.199	14.965	0	-0.011	0	11.904	0	1.01	0	-0.003	0	16.852	0	0.928	0	14.6	0	-0.011	0	11.613	0	0.985	0	-0.003	0	16.441	0	0.905	0
2023-09-12	CTD_234	PS138_174-1	Transect_60E_03	seawater	CTD	88.995298	59.611314	100	100	LHC	NA	LHC	PS138-174-1-CTD-100-16S	16S	25	77646	PS138-174-1-CTD-100-16S_clip	L9424	PS138-174-1-CTD-100-16S_clip_R1_001.fastq.gz	PS138-174-1-CTD-100-16S_clip_R2_001.fastq.gz	118	16	PS138_174-1-N16	-1.421	34.127	-1.4188	100.718	99.612	322.54	324.45	-0.021	NA	NA	6.646	0.002	-0.011	0	4.571	0.001	0.569	0.001	-0.011	0.002	10.233	0.032	0.54	0	6.488	0.002	-0.011	0	4.462	0.001	0.555	0.001	-0.011	0.002	9.989	0.031	0.527	0
2023-09-12	CTD_238	PS138_174-1	Transect_60E_03	seawater	CTD	88.995298	59.611314		chl-max	ML	PSW	ML	PS138-174-1-CTD-chlmax-16S	16S	25	55190	PS138-174-1-CTD-chlmax-16S_clip	L9424	PS138-174-1-CTD-chlmax-16S_clip_R1_001.fastq.gz	PS138-174-1-CTD-chlmax-16S_clip_R2_001.fastq.gz	120	22	PS138_174-1-N22	-1.7055	31.569	-1.7053	14.913	14.752	383.93	386.14	0.4369	395.2	385.206	0.331	0.001	-0.011	0	4.552	0.005	0.361	0.006	0.131	0.002	5.574	0.04	0.388	0.002	0.324	0.001	-0.011	0	4.452	0.005	0.353	0.006	0.128	0.002	5.452	0.039	0.379	0.002
